Experimental,Predicted,TrainTest
22.71855595,14.054825,Train
0.363388407,9.62724,Train
0.79504143,9.62724,Train
3.528843907,9.62724,Train
7.054125182,9.62724,Train
13.53006976,9.62724,Train
14.33430508,9.62724,Train
15.85612332,9.62724,Train
15.51181223,9.62724,Train
15.66960233,9.62724,Train
5.490196078,36.880592,Train
10.58823529,36.880592,Train
19.80392157,36.880592,Train
23.92156863,36.880592,Train
30.78431373,36.880592,Train
38.43137255,36.880592,Train
45.49019608,36.880592,Train
51.56862745,36.880592,Train
53.7254902,36.880592,Train
59.80392157,36.880592,Train
66.07843137,36.880592,Train
5.68627451,45.36028,Train
20.58823529,45.36028,Train
27.05882353,45.36028,Train
34.11764706,45.36028,Train
51.96078431,45.36028,Train
61.76470588,45.36028,Train
64.50980392,45.36028,Train
69.21568627,45.36028,Train
73.33333333,45.36028,Train
5.490196078,47.25461,Train
10.58823529,47.25461,Train
21.17647059,47.25461,Train
29.80392157,47.25461,Train
47.84313725,47.25461,Train
55.49019608,47.25461,Train
68.43137255,47.25461,Train
72.54901961,47.25461,Train
79.60784314,47.25461,Train
81.56862745,47.25461,Train
30.0,84.476326,Train
53.33333333,84.476326,Train
82.0,84.476326,Train
102.0,84.476326,Train
106.0,84.476326,Train
108.0,84.476326,Train
110.0,84.476326,Train
26.0,93.99958,Train
53.33333333,93.99958,Train
107.3333333,93.99958,Train
122.6666667,93.99958,Train
126.6666667,93.99958,Train
128.0,93.99958,Train
13.33333333,59.429176,Train
30.66666667,59.429176,Train
51.33333333,59.429176,Train
75.33333333,59.429176,Train
80.66666667,59.429176,Train
82.0,59.429176,Train
82.66666667,59.429176,Train
76.0,94.53293,Train
92.0,94.53293,Train
100.0,94.53293,Train
102.0,94.53293,Train
102.6666667,94.53293,Train
3.3,41.288445,Test
54.44444444,51.739346,Test
13.38174274,15.186341,Test
15.66390041,15.186341,Test
169.787234,252.97842,Test
115.7505774,71.81882,Test
2.188225851,36.002834,Test
49.79334609,36.002834,Test
5.073268206,32.894463,Test
19.49933393,32.894463,Test
92.71160678,32.894463,Test
5.071987293,36.879925,Test
20.21963383,36.879925,Test
37.33333333,47.866478,Test
105.4918033,64.868614,Test
27.23004695,47.87244,Test
71.21704586,47.87244,Test
246.8961687,145.23167,Test
269.1997183,145.23167,Test
32.42290749,50.28096,Test
35.59471366,30.013224,Test
30.90770463,31.586456,Test
41.33729706,31.586456,Test
128.9054807,65.48267,Test
8.552084664,13.5590725,Test
18.19509482,13.5590725,Test
28.71582872,13.5590725,Test
141.3,83.25028,Test
157.3495181,102.621544,Test
39.88361629,172.57343,Test
61.65957447,119.51669,Test
26.70682731,21.576244,Test
32.04819277,21.576244,Test
4.783783784,17.63347,Test
0.995024876,51.13324,Test
58.70646766,51.13324,Test
17.02380952,28.650873,Test
41.54761905,28.650873,Test
30.15706806,70.05348,Test
214.6666667,161.25922,Test
16.05504587,86.336845,Test
12.20338983,83.72961,Test
58.76068376,42.39308,Test
47.87,52.764133,Test
47.9,51.372597,Test
61.8,59.43462,Test
55.92,55.82665,Test
46.31,55.82665,Test
63.3,57.17331,Test
88.66348449,68.030334,Test
73.05194805,129.85774,Test
198.7012987,129.85774,Test
236.6883117,129.85774,Test
344.1176471,175.78404,Test
0.507387672,21.20887,Test
1.80234674,21.20887,Test
16.47831966,21.20887,Test
24.75879453,21.20887,Test
25.92366009,21.20887,Test
10.58823529,45.36028,Test
41.17647059,45.36028,Test
40.19607843,47.25461,Test
125.3333333,93.99958,Test
25.33333333,94.53293,Test
